Year,Mean_Weight,StdDev_Weight,Mean_Height,StdDev_Height,Sport,Sex
1924,64,0,167,0,Swimming,F
1956,61,4.780914437,169.7333333,3.63449086,Swimming,F
1960,62.73469388,5.619072841,169.3469388,6.839075901,Swimming,F
1964,63.06,6.466270414,171.36,4.378798642,Swimming,F
1968,62.45454545,5.361348333,170.3636364,4.583033472,Swimming,F
1972,60.23611111,5.491332621,170.3888889,4.949194146,Swimming,F
1976,61.81538462,6.138740475,171.1692308,6.011887263,Swimming,F
1980,63.63492063,5.377076755,173.4920635,5.986201919,Swimming,F
1984,62.19402985,5.391460155,174.5373134,5.800544275,Swimming,F
1988,66.02631579,6.6110487,176.4078947,6.205755676,Swimming,F
1992,61.56944444,5.234840996,173.4861111,6.058385076,Swimming,F
1996,64.96551724,6.104608011,174.3448276,7.572636766,Swimming,F
2000,64.69148936,5.603429433,176.0212766,7.264553392,Swimming,F
2004,65.07446809,5.801815366,176.5425532,5.735505141,Swimming,F
2008,65.3030303,5.344183459,175.8787879,5.630225876,Swimming,F
2012,67.53608247,5.820334068,177.2886598,6.279859942,Swimming,F
2016,66.19587629,6.371550006,177.5154639,5.595968419,Swimming,F
1900,64,0,167,0,Swimming,M
1906,61,4.780914437,169.7333333,3.63449086,Swimming,M
1908,62.73469388,5.619072841,169.3469388,6.839075901,Swimming,M
1912,63.06,6.466270414,171.36,4.378798642,Swimming,M
1920,62.45454545,5.361348333,170.3636364,4.583033472,Swimming,M
1924,60.23611111,5.491332621,170.3888889,4.949194146,Swimming,M
1928,61.81538462,6.138740475,171.1692308,6.011887263,Swimming,M
1932,63.63492063,5.377076755,173.4920635,5.986201919,Swimming,M
1936,62.19402985,5.391460155,174.5373134,5.800544275,Swimming,M
1948,66.02631579,6.6110487,176.4078947,6.205755676,Swimming,M
1952,61.56944444,5.234840996,173.4861111,6.058385076,Swimming,M
1956,64.96551724,6.104608011,174.3448276,7.572636766,Swimming,M
1960,64.69148936,5.603429433,176.0212766,7.264553392,Swimming,M
1964,65.07446809,5.801815366,176.5425532,5.735505141,Swimming,M
1968,65.3030303,5.344183459,175.8787879,5.630225876,Swimming,M
1972,67.53608247,5.820334068,177.2886598,6.279859942,Swimming,M
1976,66.19587629,6.371550006,177.5154639,5.595968419,Swimming,M
1980,64,0,167,0,Swimming,M
1988,61,4.780914437,169.7333333,3.63449086,Swimming,M
1992,62.73469388,5.619072841,169.3469388,6.839075901,Swimming,M
1996,63.06,6.466270414,171.36,4.378798642,Swimming,M
2000,62.45454545,5.361348333,170.3636364,4.583033472,Swimming,M
2004,60.23611111,5.491332621,170.3888889,4.949194146,Swimming,M
2008,61.81538462,6.138740475,171.1692308,6.011887263,Swimming,M
2012,63.63492063,5.377076755,173.4920635,5.986201919,Swimming,M
2016,62.19402985,5.391460155,174.5373134,5.800544275,Swimming,M
1976,70.84507042,12.91693007,173.7887324,10.12340357,Rowing,F
1980,70.02666667,11.68039861,173.6,9.31433072,Rowing,F
1984,69.23611111,10.55968023,175.1527778,7.407000347,Rowing,F
1988,73.8,10.31922897,178.08,8.050113311,Rowing,F
1992,72.90322581,8.207772561,178.5,6.951235295,Rowing,F
1996,71.30188679,8.226563227,178.0566038,6.344031399,Rowing,F
2000,71.95,7.898562409,178.9833333,5.887336789,Rowing,F
2004,73.25,8.693705106,180.6333333,6.550887291,Rowing,F
2008,73.43333333,8.509947652,180.3333333,6.893048984,Rowing,F
2012,71.6,8.021581061,179.5666667,7.254143566,Rowing,F
2016,71.76666667,7.971063487,179.3666667,7.575533022,Rowing,F
1908,70.84507042,12.91693007,173.7887324,10.12340357,Rowing,M
1912,70.02666667,11.68039861,173.6,9.31433072,Rowing,M
1920,69.23611111,10.55968023,175.1527778,7.407000347,Rowing,M
1924,73.8,10.31922897,178.08,8.050113311,Rowing,M
1928,72.90322581,8.207772561,178.5,6.951235295,Rowing,M
1932,71.30188679,8.226563227,178.0566038,6.344031399,Rowing,M
1936,71.95,7.898562409,178.9833333,5.887336789,Rowing,M
1948,73.25,8.693705106,180.6333333,6.550887291,Rowing,M
1952,73.43333333,8.509947652,180.3333333,6.893048984,Rowing,M
1956,71.6,8.021581061,179.5666667,7.254143566,Rowing,M
1960,71.76666667,7.971063487,179.3666667,7.575533022,Rowing,M
1964,70.84507042,12.91693007,173.7887324,10.12340357,Rowing,M
1968,70.02666667,11.68039861,173.6,9.31433072,Rowing,M
1972,69.23611111,10.55968023,175.1527778,7.407000347,Rowing,M
1976,73.8,10.31922897,178.08,8.050113311,Rowing,M
1980,72.90322581,8.207772561,178.5,6.951235295,Rowing,M
1984,71.30188679,8.226563227,178.0566038,6.344031399,Rowing,M
1988,71.95,7.898562409,178.9833333,5.887336789,Rowing,M
1992,73.25,8.693705106,180.6333333,6.550887291,Rowing,M
1996,73.43333333,8.509947652,180.3333333,6.893048984,Rowing,M
2000,71.6,8.021581061,179.5666667,7.254143566,Rowing,M
2004,71.76666667,7.971063487,179.3666667,7.575533022,Rowing,M
2008,70.84507042,12.91693007,173.7887324,10.12340357,Rowing,M
2012,70.02666667,11.68039861,173.6,9.31433072,Rowing,M
2016,69.23611111,10.55968023,175.1527778,7.407000347,Rowing,M
1998,65.00833333,6.792625405,167.55,5.975727741,Ice Hockey,F
2002,69.3,6.639123896,170.2166667,5.581724619,Ice Hockey,F
2006,69.88333333,6.452148943,170.6166667,5.275757369,Ice Hockey,F
2010,68.80327869,6.112336357,169.6885246,6.206289776,Ice Hockey,F
2014,67.91525424,7.247563528,170,6.071414083,Ice Hockey,F
1920,65.00833333,6.792625405,167.55,5.975727741,Ice Hockey,M
1924,69.3,6.639123896,170.2166667,5.581724619,Ice Hockey,M
1928,69.88333333,6.452148943,170.6166667,5.275757369,Ice Hockey,M
1932,68.80327869,6.112336357,169.6885246,6.206289776,Ice Hockey,M
1936,67.91525424,7.247563528,170,6.071414083,Ice Hockey,M
1948,65.00833333,6.792625405,167.55,5.975727741,Ice Hockey,M
1952,69.3,6.639123896,170.2166667,5.581724619,Ice Hockey,M
1956,69.88333333,6.452148943,170.6166667,5.275757369,Ice Hockey,M
1960,68.80327869,6.112336357,169.6885246,6.206289776,Ice Hockey,M
1964,67.91525424,7.247563528,170,6.071414083,Ice Hockey,M
1968,65.00833333,6.792625405,167.55,5.975727741,Ice Hockey,M
1972,69.3,6.639123896,170.2166667,5.581724619,Ice Hockey,M
1976,69.88333333,6.452148943,170.6166667,5.275757369,Ice Hockey,M
1980,68.80327869,6.112336357,169.6885246,6.206289776,Ice Hockey,M
1984,67.91525424,7.247563528,170,6.071414083,Ice Hockey,M
1988,65.00833333,6.792625405,167.55,5.975727741,Ice Hockey,M
1992,69.3,6.639123896,170.2166667,5.581724619,Ice Hockey,M
1994,69.88333333,6.452148943,170.6166667,5.275757369,Ice Hockey,M
1998,68.80327869,6.112336357,169.6885246,6.206289776,Ice Hockey,M
2002,67.91525424,7.247563528,170,6.071414083,Ice Hockey,M
2006,65.00833333,6.792625405,167.55,5.975727741,Ice Hockey,M
2010,69.3,6.639123896,170.2166667,5.581724619,Ice Hockey,M
2014,69.88333333,6.452148943,170.6166667,5.275757369,Ice Hockey,M
1980,58.17021277,5.498296768,161.6170213,6.445602449,Hockey,F
1984,60.25,5.408818646,167.1875,4.858229473,Hockey,F
1988,59.93617021,5.32183466,165.3191489,5.381556196,Hockey,F
1992,61.2195122,5.174515413,167.1463415,6.207096647,Hockey,F
1996,60.61290323,5.123003152,167.5483871,5.334408494,Hockey,F
2000,60.89583333,5.918739024,166.7916667,5.558043178,Hockey,F
