"Year","Mean_Weight","StdDev_Weight","Mean_Height","StdDev_Height","Sport","Sex"
"1960",60.8735632183908,9.23902829725525,168.597701149425,6.43322260350452,"Athletics","F"
"1964",59.991341991342,8.76355662462269,167.831168831169,6.49428363503179,"Athletics","F"
"1968",60.0801886792453,8.4622486990634,168.966981132075,6.49417123562022,"Athletics","F"
"1972",58.848275862069,7.63615152847633,168.886206896552,6.21340353481548,"Athletics","F"
"1976",NA,NA,NA,NA,"Athletics","F"
"1980",NA,NA,NA,NA,"Athletics","F"
"1984",NA,NA,NA,NA,"Athletics","F"
"1988",NA,NA,NA,NA,"Athletics","F"
"1992",NA,NA,NA,NA,"Athletics","F"
"1996",NA,NA,NA,NA,"Athletics","F"
"2000",NA,NA,NA,NA,"Athletics","F"
"2004",61.7622739018088,13.7484449737145,NA,NA,"Athletics","F"
"2008",NA,NA,NA,NA,"Athletics","F"
"2012",NA,NA,NA,NA,"Athletics","F"
"2016",NA,NA,NA,NA,"Athletics","F"
"1960",60.8735632183908,9.23902829725525,168.597701149425,6.43322260350452,"Athletics","M"
"1964",59.991341991342,8.76355662462269,167.831168831169,6.49428363503179,"Athletics","M"
"1968",60.0801886792453,8.4622486990634,168.966981132075,6.49417123562022,"Athletics","M"
"1972",58.848275862069,7.63615152847633,168.886206896552,6.21340353481548,"Athletics","M"
"1976",NA,NA,NA,NA,"Athletics","M"
"1980",NA,NA,NA,NA,"Athletics","M"
"1984",NA,NA,NA,NA,"Athletics","M"
"1988",NA,NA,NA,NA,"Athletics","M"
"1992",NA,NA,NA,NA,"Athletics","M"
"1996",NA,NA,NA,NA,"Athletics","M"
"2000",NA,NA,NA,NA,"Athletics","M"
"2004",61.7622739018088,13.7484449737145,NA,NA,"Athletics","M"
"2008",NA,NA,NA,NA,"Athletics","M"
"2012",NA,NA,NA,NA,"Athletics","M"
"2016",NA,NA,NA,NA,"Athletics","M"
"1960",NA,NA,NA,NA,"Swimming","F"
"1964",NA,NA,NA,NA,"Swimming","F"
"1968",NA,NA,NA,NA,"Swimming","F"
"1972",NA,NA,NA,NA,"Swimming","F"
"1976",NA,NA,NA,NA,"Swimming","F"
"1980",60.0167597765363,5.51858439381255,170.055865921788,6.2689897313351,"Swimming","F"
"1984",NA,NA,NA,NA,"Swimming","F"
"1988",NA,NA,170.489743589744,6.68756644237882,"Swimming","F"
"1992",NA,NA,NA,NA,"Swimming","F"
"1996",NA,NA,NA,NA,"Swimming","F"
"2000",NA,NA,NA,NA,"Swimming","F"
"2004",62.6691176470588,5.95694205984629,173.340073529412,6.29157792998668,"Swimming","F"
"2008",NA,NA,NA,NA,"Swimming","F"
"2012",NA,NA,NA,NA,"Swimming","F"
"2016",NA,NA,NA,NA,"Swimming","F"
"1960",NA,NA,NA,NA,"Swimming","M"
"1964",NA,NA,NA,NA,"Swimming","M"
"1968",NA,NA,NA,NA,"Swimming","M"
"1972",NA,NA,NA,NA,"Swimming","M"
"1976",NA,NA,NA,NA,"Swimming","M"
"1980",60.0167597765363,5.51858439381255,170.055865921788,6.2689897313351,"Swimming","M"
"1984",NA,NA,NA,NA,"Swimming","M"
"1988",NA,NA,170.489743589744,6.68756644237882,"Swimming","M"
"1992",NA,NA,NA,NA,"Swimming","M"
"1996",NA,NA,NA,NA,"Swimming","M"
"2000",NA,NA,NA,NA,"Swimming","M"
"2004",62.6691176470588,5.95694205984629,173.340073529412,6.29157792998668,"Swimming","M"
"2008",NA,NA,NA,NA,"Swimming","M"
"2012",NA,NA,NA,NA,"Swimming","M"
"2016",NA,NA,NA,NA,"Swimming","M"
"1960",NA,NA,NA,NA,"Gymnastics","F"
"1964",53.6042944785276,4.92152383772783,158.834355828221,5.54007920374483,"Gymnastics","F"
"1968",51.4289544235925,4.84972211049174,158.061662198391,7.32677769713383,"Gymnastics","F"
"1972",NA,NA,NA,NA,"Gymnastics","F"
"1976",47.2027972027972,4.88615579612359,158.164335664336,5.1827230611947,"Gymnastics","F"
"1980",41.5025125628141,7.2494335354176,153.291457286432,8.26551051219504,"Gymnastics","F"
"1984",43.1498371335505,5.76135068695646,153.312703583062,6.5539441939047,"Gymnastics","F"
"1988",43.328611898017,5.47252461159538,153.025495750708,6.62055394084563,"Gymnastics","F"
"1992",NA,NA,NA,NA,"Gymnastics","F"
"1996",NA,NA,NA,NA,"Gymnastics","F"
"2000",NA,NA,NA,NA,"Gymnastics","F"
"2004",44.8577586206897,6.97985562875033,153.047413793103,6.75568025881117,"Gymnastics","F"
"2008",NA,NA,153.212201591512,6.93530588701658,"Gymnastics","F"
"2012",NA,NA,NA,NA,"Gymnastics","F"
"2016",NA,NA,153.646875,7.48061169506133,"Gymnastics","F"
"1960",NA,NA,NA,NA,"Gymnastics","M"
"1964",53.6042944785276,4.92152383772783,158.834355828221,5.54007920374483,"Gymnastics","M"
"1968",51.4289544235925,4.84972211049174,158.061662198391,7.32677769713383,"Gymnastics","M"
"1972",NA,NA,NA,NA,"Gymnastics","M"
"1976",47.2027972027972,4.88615579612359,158.164335664336,5.1827230611947,"Gymnastics","M"
"1980",41.5025125628141,7.2494335354176,153.291457286432,8.26551051219504,"Gymnastics","M"
"1984",43.1498371335505,5.76135068695646,153.312703583062,6.5539441939047,"Gymnastics","M"
"1988",43.328611898017,5.47252461159538,153.025495750708,6.62055394084563,"Gymnastics","M"
"1992",NA,NA,NA,NA,"Gymnastics","M"
"1996",NA,NA,NA,NA,"Gymnastics","M"
"2000",NA,NA,NA,NA,"Gymnastics","M"
"2004",44.8577586206897,6.97985562875033,153.047413793103,6.75568025881117,"Gymnastics","M"
"2008",NA,NA,153.212201591512,6.93530588701658,"Gymnastics","M"
"2012",NA,NA,NA,NA,"Gymnastics","M"
"2016",NA,NA,153.646875,7.48061169506133,"Gymnastics","M"
