Year,Num.Sports,Host City,Country,,
1896,9,Athens,Greece,,
1900,19,Paris,France,,
1904,16,St. Louis,USA,,
1906,13,Athens,Greece,,
1908,22,London,England,,
1912,14,Stockholm,Sweden,,
1920,22,Antwerp,Belgium,,
1924,17,Paris,France,,
1928,14,Amsterdam,Holland,,
1932,14,Los Angeles,USA,,
1936,19,Berlin,Germany,,
1948,17,London,England,,
1952,17,Helsinki,Finland,,
1956,17,Melbourne,Australia,,
1960,17,Rome,Italy,,
1964,19,Tokyo,Japan,,
1968,18,Mexico City,Mexico,,
1972,21,Munich,Germany,,
1976,21,Montreal,Candada,,
1980,21,Moscow,USSR,,
1984,21,Los Angeles,USA,,
1988,23,Seoul,South Korea,,
1992,25,Barcelona,Spain,,
1996,26,Atlanta,USA,,
2000,28,Sydney,Australia,,
2004,28,Athens,Greece,,
2008,28,Beijing,China,,
2012,26,London,England,,
2016,28,Rio,Brazil,,
2020,33,Tokyo,Japan,,
